,precision,recall,f1-score,support
0,0.9775100401606426,0.9834343434343434,0.9804632426988923,4950.0
1,0.9465101108936725,0.9283429302623161,0.9373385012919897,1563.0
accuracy,0.9702134193152158,0.9702134193152158,0.9702134193152158,0.9702134193152158
macro avg,0.9620100755271576,0.9558886368483297,0.958900871995441,6513.0
weighted avg,0.9700706283006281,0.9702134193152158,0.9701140993211879,6513.0
